timestamp,-1min,sma7,sma25,sma50,ema7,ema25,ema50,price
1681492620,30255.84,30240.47724503438,30204.48879691606,30242.538470940828,30254.708662941783,30217.046302098297,30204.65513535952,30282.54
1681492680,30282.54,30246.779067172323,30207.692845039415,30243.37950152201,30262.178997206334,30222.24197116766,30207.789835933654,30284.59
1681492740,30284.59,30250.35062900485,30210.256331237837,30243.94751149157,30264.579247904752,30226.052588770148,30210.299254132333,30271.78
1681492800,30271.78,30252.326253432726,30212.413277988326,30244.352161261737,30264.479435928566,30228.985466557056,30212.41222455852,30264.18
1681492860,30264.18,30252.432502942338,30214.039546868793,30244.526518036506,30261.627076946424,30230.838122975743,30214.00664712485,30253.07
1681492920,30253.07,30252.495002522006,30215.592764994042,30244.69338767578,30259.437807709815,30232.532882746837,30215.530700178777,30252.87
1681492980,30252.87,30254.80714501886,30217.716254394283,30245.173119922263,30261.748355782358,30235.31343022785,30217.61498644628,30268.68
1681493040,30268.68,30257.461838587595,30219.94320421851,30245.737457523817,30264.65876683677,30238.2423971334,30219.80224187976,30273.39
1681493100,30273.39,30259.723004503652,30222.077076049773,30246.28850837334,30266.816575127574,30240.938366584673,30221.89980102173,30273.29
1681493160,30273.29,30262.959718145987,30224.489193007783,30247.010338205873,30270.707431345683,30244.1261845397,30224.271573530677,30282.38
1681493220,30282.38,30265.251186982274,30226.66962528747,30247.650131441755,30272.780573509262,30246.808785728954,30226.417786333393,30279
1681493280,30279,30266.362445984803,30228.524040275974,30248.15772881292,30272.84293013195,30248.825802211344,30228.245716281104,30273.03
1681493340,30273.03,30265.99352512983,30229.934278664932,30248.47017423666,30270.577197598963,30249.976125118163,30229.639217603413,30263.78
1681493400,30263.78,30261.984450111282,30230.254107518336,30248.259370751926,30262.41539819922,30249.04950010907,30229.96434632485,30237.93
1681493460,30237.93,30257.338100095385,30230.2223432176,30247.883383336888,30254.17654864941,30247.542615485298,30229.944568037597,30229.46
